doc_id,lang,source,text,text_norm,n_chars,n_tokens,page_id,title
68308-p6,kmr,wiki,"Piştî belavkirina îslamê
Ziryab li gorî minyaturekê",piştî belavkirina îslamê ziryab li gorî minyaturekê,51,7,68308,Tevkariya kurdan di tarîxa zanistê de
38288-p0,kmr,wiki,"'''Eşûrgewrik''', gundekî bi ser navçeya Xamûr a Agiriyê ve ye.",eşûrgewrik gundekî bi ser navçeya xamûr a agiriyê ve ye,63,10,38288,Eşûrgewrik
107574-p0,kmr,wiki,"'''Geisenheim''', bajarekî navçeya (''Landkreis)'' Rheingau-Taunus-Kreisê li herêma Hesse ya Almanyayê ye.",geisenheim bajarekî navçeya landkreis rheingau taunus kreisê li herêma hesse ya almanyayê ye,106,13,107574,Geisenheim
71569-p0,kmr,wiki,Komên etnîk di nexşeya Kafkasyayê,komên etnîk di nexşeya kafkasyayê,33,5,71569,Koma etnîk
7577-p2,kmr,wiki,"Kurte
Ew yek ji helbestvan û nivîskarên kurd ên sedsala 20an bû ku mafê parastin û vejandina ferheng û wêjeyê daye miletê xwe, ji ber ku di sibeha tarî û zelal a jiyana xwe de, komunan kom dike. Wêje û lêhûrbûnên kurdî ji gotinên wê, bi çewisandin û sorkirina zimanê kurdî, hatine bikaranîn û heta gul nehatine avêtin û paşeroja wê li xelkên din nehatiye vegerandin",kurte ew yek ji helbestvan û nivîskarên kurd ên sedsala 20an bû ku mafê parastin û vejandina ferheng û wêjeyê daye miletê xwe ji ber ku di sibeha tarî û zelal a jiyana xwe de komunan kom dike wêje û lêhûrbûnên kurdî ji gotinên wê bi çewisandin û sorkirina zimanê kurdî hatine bikaranîn û heta gul nehatine avêtin û paşeroja wê li xelkên din nehatiye vegerandin,365,66,7577,Hêmin Mukriyanî
51896-p5,kmr,wiki,"Wêne:Artischocken.JPG|Artîşok li dukana hêşinahîfiroşiyê
File:Pleubian 22 Artichauts 2010.jpg",wêne artischocken jpg artîşok li dukana hêşinahîfiroşiyê file pleubian 22 artichauts 2010 jpg,93,13,51896,Artîşok
97139-p0,kmr,wiki,"'''Siyehnab''' ( ), gundekî ser bi navenda bajarê Bostanabadê li Azerbaycana Rojhilat ya Îranê ye.",siyehnab gundekî ser bi navenda bajarê bostanabadê li azerbaycana rojhilat ya îranê ye,98,13,97139,Siyehnab
60986-p4,kmr,wiki,"Xwarin
Xwarina wî dubarî mêş û mûr û kurmik in.",xwarin xwarina wî dubarî mêş û mûr û kurmik in,47,10,60986,Başkulok
142355-p0,kmr,wiki,"'''Sûrmeq ''' ( ), yek ji bajarê parêzgeha Farsê ye ku bi dewleta Îranê ve girêdayî ye.
Çavkanî",sûrmeq yek ji bajarê parêzgeha farsê ye ku bi dewleta îranê ve girêdayî ye çavkanî,95,15,142355,Sûrmeq
16029-p1,kmr,wiki,"Bi rast li derekê roj gîşte xala herî bilind, li wir saet 12 ne. Lê gorî navçeya saetî jî li ser nexşeke, an jî bi rast mirov aliya rojhilat de hara saet kêm dibe, ku rojava da hara jî saet pêş de dera. Ew saet kêm bûn, an jî pir bûn e sînoraka xwe he ye. Bi wê re Xêzedema Guhertinê tê gotin. Mirov aliya rojhilat de wê xêzê derbaz bike rojakî kar dika, aliya rojava de derbaz bike jî rojakî winda dike.",bi rast li derekê roj gîşte xala herî bilind li wir saet 12 ne lê gorî navçeya saetî jî li ser nexşeke an jî bi rast mirov aliya rojhilat de hara saet kêm dibe ku rojava da hara jî saet pêş de dera ew saet kêm bûn an jî pir bûn e sînoraka xwe he ye bi wê re xêzedema guhertinê tê gotin mirov aliya rojhilat de wê xêzê derbaz bike rojakî kar dika aliya rojava de derbaz bike jî rojakî winda dike,404,83,16029,Beşa saetê
50561-p5,kmr,wiki,"Çêkirin
Ji êvar de keşkê bikin nava avê bila nermijî bibe. Lê bila pirr dirêj jî di nava avê de nemîne, 4-5 katjimêr bes e. Bidarivînin, avê berdin quşxane yan beroşê, xwê pê werbikin, bi qasî 30-45 deqe bikelînin.",çêkirin ji êvar de keşkê bikin nava avê bila nermijî bibe lê bila pirr dirêj jî di nava avê de nemîne 4 5 katjimêr bes e bidarivînin avê berdin quşxane yan beroşê xwê pê werbikin bi qasî 30 45 deqe bikelînin,214,41,50561,Şorbeya keşkê
276440-p5,kmr,wiki,Kategorî:Partiyên siyasî yên ku di 1828an de hatine avakirin,kategorî partiyên siyasî yên ku di 1828an de hatine avakirin,60,10,276440,Partiya Demokrat (DYA)
136487-p11,kmr,wiki,"Kategorî:Ekolojî
Kategorî:Guherîna avhewayê",kategorî ekolojî kategorî guherîna avhewayê,43,5,136487,Koçberiya ekolojîk
104933-p0,kmr,wiki,"'''Achern''', bajarekî Almanyayê ye û yek ji bajarên herêma Baden-Württembergê ye.",achern bajarekî almanyayê ye û yek ji bajarên herêma baden württembergê ye,82,12,104933,Achern
269728-p0,kmr,wiki,"'''Verdello''' komun û şaredariyeke parêzgeha Bergamoya li herêma Lombardiyayê ye ku yek ji şaredariyên bakurê Îtalyayê ye. 
Nifûs",verdello komun û şaredariyeke parêzgeha bergamoya li herêma lombardiyayê ye ku yek ji şaredariyên bakurê îtalyayê ye nifûs,130,18,269728,Verdello
49901-p6,kmr,wiki,"Kategorî:Kebab
Kategorî:Pêjgeha kurdî",kategorî kebab kategorî pêjgeha kurdî,37,5,49901,Şifte biraşk
67187-p12,kmr,wiki,"* Burt Bacharach
* The Band
* Cab Calloway
* Doris Day
* Itzhak Perlman
* Max Roach
* Earl Scruggs",burt bacharach the band cab calloway doris day itzhak perlman max roach earl scruggs,98,14,67187,Lîsteya Xelatên Grammy yên 2008
121408-p0,kmr,wiki,"'''Saint-Pierre-de-la-Fage''', komuneke departementa Hérault ya herêma Oksîtanyaya li başûrê Fransayê ye. 
Gelhe
Li jêr, li gorî daneyên salan hejmar û rêjeya gelheya komunê hatiye diyarkirin:",saint pierre de la fage komuneke departementa hérault ya herêma oksîtanyaya li başûrê fransayê ye gelhe li jêr li gorî daneyên salan hejmar û rêjeya gelheya komunê hatiye diyarkirin,192,29,121408,Saint-Pierre-de-la-Fage
144214-p0,kmr,wiki,"'''Parûd ''' ( ), yek ji bajarê parêzgeha Sîstan û Belûçistanê ye ku bi dewleta Îranê ve girêdayî ye.
Çavkanî",parûd yek ji bajarê parêzgeha sîstan û belûçistanê ye ku bi dewleta îranê ve girêdayî ye çavkanî,109,17,144214,Parûd
53185-p6,kmr,wiki,"Kategorî:Nan
Kategorî:Pêjgeha kurdî
Kategorî:Pêjgeha Soran",kategorî nan kategorî pêjgeha kurdî kategorî pêjgeha soran,58,8,53185,Nanê bigoşt ê Soranê
3533-p23,kmr,wiki,"Kategorî:Helbestvanên kurd
Kategorî:Jidayikbûn 1867
Kategorî:Kesên ji Silêmaniyê
Kategorî:Kurdên sedsala 20an
Kategorî:Kurdên sedsala 19an
Kategorî:Kurdên Başûrê Kurdistanê
Kategorî:Kurdên Împeratoriya Osmanî
Kategorî:Mirin 1950
Kategorî:Nivîskarên zimanê kurdî
Kategorî:Rojnamevanên kurd",kategorî helbestvanên kurd kategorî jidayikbûn 1867 kategorî kesên ji silêmaniyê kategorî kurdên sedsala 20an kategorî kurdên sedsala 19an kategorî kurdên başûrê kurdistanê kategorî kurdên împeratoriya osmanî kategorî mirin 1950 kategorî nivîskarên zimanê kurdî kategorî rojnamevanên kurd,288,36,3533,Pîremêrd
28177-p4,kmr,wiki,Wêne:Mossopolis.jpg|Kevzên li daran piçikînî,wêne mossopolis jpg kevzên li daran piçikînî,44,7,28177,Kevz
82136-p0,kmr,wiki,"'''Vanessa Busse''' (jdb. 1ê çiriya pêşîn a 1980î li Günzburgê, Almanya - m. 5ê çiriya pêşîn a 2017an li Augsburgê, Almanya) nivîskareke alman bû, ku wek stranbêj bi bernavka Vanessa Saturn xebitî.",vanessa busse jdb 1ê çiriya pêşîn a 1980î li günzburgê almanya m 5ê çiriya pêşîn a 2017an li augsburgê almanya nivîskareke alman bû ku wek stranbêj bi bernavka vanessa saturn xebitî,197,31,82136,Vanessa Busse
28536-p14,kmr,wiki,"Desteya nivîsîn û teknîkê li ser hev dê bi kêmanî ji şêst rojnamevan, birêveber û teknisyenan pêk bê. Beşê mezin ê vê desteyê dê li navenda wê ya giştî, li Parîsê be. Weşana hin bernameyan dê ji Stockholm, Berlin û Kolnê bê kirin.",desteya nivîsîn û teknîkê li ser hev dê bi kêmanî ji şêst rojnamevan birêveber û teknisyenan pêk bê beşê mezin ê vê desteyê dê li navenda wê ya giştî li parîsê be weşana hin bernameyan dê ji stockholm berlin û kolnê bê kirin,230,43,28536,Kurd 1
15285-p34,kmr,wiki,"Kategorî:Dadaizm
Eluard, Paul
Kategorî:Jidayikbûn 1895
Kategorî:Mirin 1952",kategorî dadaizm eluard paul kategorî jidayikbûn 1895 kategorî mirin 1952,74,10,15285,Paul Éluard
66625-p28,kmr,wiki,"Wan
Nexşeya Wan'ê
* Bêgirî
* Bazîdaxa
* Erdîş
* Ertemêtan
* Mehmûdî
* Miks
* Payizava
* Qerqelî
* Şax
* Westan
* Kom
* Elbak",wan nexşeya wan ê bêgirî bazîdaxa erdîş ertemêtan mehmûdî miks payizava qerqelî şax westan kom elbak,124,16,66625,Lîsteya navçeyên Kurdistanê
38802-p0,kmr,wiki,"'''Harîka Axa''', gundekî bi ser bajarê Amêdiya parêzgeha Dihokê (Badînan, Başûrê Kurdistanê) . Êk e ji gundên dewlemend û geştûguzarî ku havîngehên Ava Şîn û Geliyê Şêranê dikevine gundê navbirî.",harîka axa gundekî bi ser bajarê amêdiya parêzgeha dihokê badînan başûrê kurdistanê êk e ji gundên dewlemend û geştûguzarî ku havîngehên ava şîn û geliyê şêranê dikevine gundê navbirî,196,29,38802,Harîka Axa
101776-p0,kmr,wiki,"'''Byavatnet''', goleke di nava sinorê parêzgeha Nord-Trøndelaga Norwêcê de ye. Gol bi qasî 2,5 kîlomêtre li aliyê başûrê gundê Ekne û bi qasî 3 kîlometre li aliyê rojavayê gundê Ronglanê cih digire.
Mijarên têkildar
* Lîsteya golên Norwêcê
Çavkanî",byavatnet goleke di nava sinorê parêzgeha nord trøndelaga norwêcê de ye gol bi qasî 2 5 kîlomêtre li aliyê başûrê gundê ekne û bi qasî 3 kîlometre li aliyê rojavayê gundê ronglanê cih digire mijarên têkildar lîsteya golên norwêcê çavkanî,248,40,101776,Byavatnet
24525-p5,kmr,wiki,"Kategorî:Balinde
Kategorî:Balindeyên li Afrîkayê
Kategorî:Cureyên bi kêmtirîn metirsî
Kategorî:Faunaya Kurdistanê
Kategorî:Kund",kategorî balinde kategorî balindeyên li afrîkayê kategorî cureyên bi kêmtirîn metirsî kategorî faunaya kurdistanê kategorî kund,127,16,24525,Kundê spî
62853-p0,kmr,wiki,"'''Aryo Barzan II''', '''Aryo Barzanê diduyan ê Kapadokyayê''' , şahê keyaniya Kapadokyayê bû. Ew lawikê şahê Aryo Barzanê yekê yê Kapadokyayê bû, lê dema fermandariya wî kurt bû, ji ber ko hatiye kuştin. Dema fermandariya Aryo Barzan II ji 62 heta 51 beriya zayînê bû.",aryo barzan ii aryo barzanê diduyan ê kapadokyayê şahê keyaniya kapadokyayê bû ew lawikê şahê aryo barzanê yekê yê kapadokyayê bû lê dema fermandariya wî kurt bû ji ber ko hatiye kuştin dema fermandariya aryo barzan ii ji 62 heta 51 beriya zayînê bû,269,44,62853,Aryo Barzanê duyan ê Kapadokyayê
79696-p2,kmr,wiki,"Bingehên tevgerê
* ''Tirkperestî'': bi dûçûna esasa îdolojiya Ziya Gökalp vê îdolojiyê wek bingeha partiyê dibînin . Her wiha axa Kurdistanê jî nexşeyên xwe de wek Azerbaycan nîşan didin .",bingehên tevgerê tirkperestî bi dûçûna esasa îdolojiya ziya gökalp vê îdolojiyê wek bingeha partiyê dibînin her wiha axa kurdistanê jî nexşeyên xwe de wek azerbaycan nîşan didin,188,27,79696,Tevgera Hişyarbûna Neteweyî ya Azerbaycana Başûr
17171-p15,kmr,wiki,H \approx \frac{33}{32} \cdot (G - 622),h approx frac 33 32 cdot g 622,39,8,17171,Salnameya koçî
3582-p2,kmr,wiki,Cihên Belavbûna hoz û eşîrên gelê mihelemî le Cizîrê (Mezopotamya jorîn) û parêzgehên xwe (Diyar Bakr),cihên belavbûna hoz û eşîrên gelê mihelemî le cizîrê mezopotamya jorîn û parêzgehên xwe diyar bakr,102,16,3582,Mihelemî
147102-p0,kmr,wiki,"'''Soudat''', komuneke li departmena Dordogne ya li herêma Nouvelle-Aquitaineyê ye ku li başûrê rojavayê Fransayê ye.",soudat komuneke li departmena dordogne ya li herêma nouvelle aquitaineyê ye ku li başûrê rojavayê fransayê ye,117,17,147102,Soudat
11748-p0,kmr,wiki,'''Gagivas''' gundekî girêdayî navçeya Amedê Pasûrê ye ku ji aliyê dewleta tirk ve hatiye valakirin.,gagivas gundekî girêdayî navçeya amedê pasûrê ye ku ji aliyê dewleta tirk ve hatiye valakirin,100,15,11748,Gagivas
6333-p101,kmr,wiki,"Li gorî OECD, di 2003 de Fransa li pêş Dewletên Yekbûyî û Belçîka xwedan para herî mezin a veberhênana biyanî bû (wek sedî tê hesibandin). Bi bernameya xwe ya navokî re, Fransa di heman demê de welatê herî bilind ê xwebexşînê ye li Ewropaya Rojava û yek ji heft welatên herî pîşesazî yên cîhanê ye ku herî kêm karbondîoksît hilberîne. Ji ber vê yekê standarda jiyanê li Fransayê pir bilind e.",li gorî oecd di 2003 de fransa li pêş dewletên yekbûyî û belçîka xwedan para herî mezin a veberhênana biyanî bû wek sedî tê hesibandin bi bernameya xwe ya navokî re fransa di heman demê de welatê herî bilind ê xwebexşînê ye li ewropaya rojava û yek ji heft welatên herî pîşesazî yên cîhanê ye ku herî kêm karbondîoksît hilberîne ji ber vê yekê standarda jiyanê li fransayê pir bilind e,392,71,6333,Fransa
92135-p1,kmr,wiki,"Nifûsa gund
Ev gund li gorî serjimêriya Navenda Amara Îranê di 2016an de, nifûsa wî 6.959 kes (1.567 malbat) bûn.",nifûsa gund ev gund li gorî serjimêriya navenda amara îranê di 2016an de nifûsa wî 6 959 kes 1 567 malbat bûn,113,22,92135,"Badikî, Ûrmiye"
67975-p9,kmr,wiki,"Di Gulana 1994an da, bi girtin û qedexekirina Rojnama Azadî va ew jî sedem hin nivîsên xwe û xwedîtiya rojnamê bi cezayê girtîgehê hatiye sizakirin.",di gulana 1994an da bi girtin û qedexekirina rojnama azadî va ew jî sedem hin nivîsên xwe û xwedîtiya rojnamê bi cezayê girtîgehê hatiye sizakirin,148,25,67975,İkram Oğuz
91916-p1,kmr,wiki,"Nifûsa gund
Ev gund li gorî serjimêriya Navenda Amara Îranê di 2016an de, nifûsa wî 505 kes (116 malbat) bûn.",nifûsa gund ev gund li gorî serjimêriya navenda amara îranê di 2016an de nifûsa wî 505 kes 116 malbat bûn,109,20,91916,Dereşk
309189-p18,kmr,wiki,"Gelek parêznameyên dîrokî yên kolebûnê û hukûmeta neazad li ser peymanên eşkere an nepenî yên bo veguhestina her ""mafên xwezayî"" yên azadî û xwe-birêvebirinê bûn. Argûmanên de facto yên nalemirî yên Hutcheson û pêşiyên wî bingeh dan tevgera antî-kolebûnê ku ne tenê li dijî kolebûna neçarî, lê li dijî her forma peymanî ya eşkere an nepenî ya kolebûnê argûman bike. Her peymanek ku hewl dida bi qanûnî mafek bi vî rengî veguhezîne, bi xwezayî ne derbasdar bû. Bi heman awayî, argûman ji aliyê tevgera demokratîk ve hat bikaranîn da ku li dijî her peymanên civakî yên eşkere an nepenî yên bindestiyê (''pactum subjectionis'') argûman bike ku tê de gelê bi awayekî gumanbar mafê xwe yê xwe-birêvebirinê ji serwer re veguhezîne, mînak, di ''Leviathan'' a Thomas Hobbes de. Li gorî Ernst Cassirer,",gelek parêznameyên dîrokî yên kolebûnê û hukûmeta neazad li ser peymanên eşkere an nepenî yên bo veguhestina her mafên xwezayî yên azadî û xwe birêvebirinê bûn argûmanên de facto yên nalemirî yên hutcheson û pêşiyên wî bingeh dan tevgera antî kolebûnê ku ne tenê li dijî kolebûna neçarî lê li dijî her forma peymanî ya eşkere an nepenî ya kolebûnê argûman bike her peymanek ku hewl dida bi qanûnî mafek bi vî rengî veguhezîne bi xwezayî ne derbasdar bû bi heman awayî argûman ji aliyê tevgera demokratîk ve hat bikaranîn da ku li dijî her peymanên civakî yên eşkere an nepenî yên bindestiyê pactum subjectionis argûman bike ku tê de gelê bi awayekî gumanbar mafê xwe yê xwe birêvebirinê ji serwer re veguhezîne mînak di leviathan a thomas hobbes de li gorî ernst cassirer,793,134,309189,Mafên xwezayî û qanûnî
2259-p3,kmr,wiki,"ISBN
* ISBN 975-7011-32-0",isbn isbn 975 7011 32 0,25,6,2259,Anatomiya bedena mirovan
86378-p2,kmr,wiki,Artêşa terrakotayî ji bo parastina Gora Qin Shi Huang hate çê kirin.,artêşa terrakotayî ji bo parastina gora qin shi huang hate çê kirin,68,12,86378,Gora Qin Shi Huang
129331-p1,kmr,wiki,"Di sala 1994 de, pîrozbahiya salane ya Meha Dîroka LGBT li Dewletên Yekbûyî dest pê kir û ji hingê ve ew li welatên din hate hilbijartin. Ev çavdêrî ji bo ronîkirina dîroka gel, mafên LGBT û tevgerên mafên sivîl ên têkildar e. Ew di meha cotmehê de li Dewletên Yekbûyî tê dîtin, ku di 11ê Cotmehê de Roja Derketinê ya Neteweyî tê de ye. Li Keyaniya Yekbûyî ji sala 2005an û vir ve di sibata 2005an de hat dîtin ku hevdem e bi rakirina Beşa 28an a sala 2003an, ku rayedarên herêmî qedexe kiribû ku hevzayendî ""pêşvebirina"" hevzayendîtiyê bikin. Serkeftinek pîroz di dîroka LGBT de çêbû dema ku keybanû Beatrix qanûnek îmze kir ku Holenda bibe welatê yekem ku zewaca hevzayendan qanûnî kir.",di sala 1994 de pîrozbahiya salane ya meha dîroka lgbt li dewletên yekbûyî dest pê kir û ji hingê ve ew li welatên din hate hilbijartin ev çavdêrî ji bo ronîkirina dîroka gel mafên lgbt û tevgerên mafên sivîl ên têkildar e ew di meha cotmehê de li dewletên yekbûyî tê dîtin ku di 11ê cotmehê de roja derketinê ya neteweyî tê de ye li keyaniya yekbûyî ji sala 2005an û vir ve di sibata 2005an de hat dîtin ku hevdem e bi rakirina beşa 28an a sala 2003an ku rayedarên herêmî qedexe kiribû ku hevzayendî pêşvebirina hevzayendîtiyê bikin serkeftinek pîroz di dîroka lgbt de çêbû dema ku keybanû beatrix qanûnek îmze kir ku holenda bibe welatê yekem ku zewaca hevzayendan qanûnî kir,688,123,129331,Dîroka LGBTê
62662-p9,kmr,wiki,"Di sala 1937an de ew û Günther Anders hevûdu berdidin, di sala 1940an de Arendt bi doçantê felsefeyê Heinrich Blücher re dizewice û bi wî re dimîne, heya mirina wî ya di sala 1970an de. Di heman salê de ji bo çend hefteyan wek ''penabereke dijmin'' di kampa Gurs (li başûrê Fransayê) de hat girtin. Di sala 1941an de ew digel hevjîna xwe koçberiya DYAyê dike. Li wir di sala 1951an de hemwelatiya amerîkî werdigire, piştî ku di sala 1937an de mafê hemwelatiya elmanî ji wê hatibû standin.",di sala 1937an de ew û günther anders hevûdu berdidin di sala 1940an de arendt bi doçantê felsefeyê heinrich blücher re dizewice û bi wî re dimîne heya mirina wî ya di sala 1970an de di heman salê de ji bo çend hefteyan wek penabereke dijmin di kampa gurs li başûrê fransayê de hat girtin di sala 1941an de ew digel hevjîna xwe koçberiya dyayê dike li wir di sala 1951an de hemwelatiya amerîkî werdigire piştî ku di sala 1937an de mafê hemwelatiya elmanî ji wê hatibû standin,488,88,62662,Hannah Arendt
96750-p0,kmr,wiki,"'''Helan Seferelî''' ( ), gundekî ser bi navenda bajarê Eherê li Azerbaycana Rojhilat ya Îranê ye.",helan seferelî gundekî ser bi navenda bajarê eherê li azerbaycana rojhilat ya îranê ye,98,14,96750,Helan Seferelî
132490-p0,kmr,wiki,"'''Saint-Aigulin''', komuneke li departmena Charente-Maritime ya herêma Nouvelle-Aquitaine e ku li bakurê rojavayê Fransayê ye.",saint aigulin komuneke li departmena charente maritime ya herêma nouvelle aquitaine e ku li bakurê rojavayê fransayê ye,127,18,132490,Saint-Aigulin
78411-p0,kmr,wiki,"'''Çemkurik''', gundekî bi ser navçeya Zaxoyê ya parêzgeha Dihokê (Badînan, Başûrê Kurdistanê) ve ye .",çemkurik gundekî bi ser navçeya zaxoyê ya parêzgeha dihokê badînan başûrê kurdistanê ve ye,102,14,78411,"Çemkurik, Zaxo"
78264-p0,kmr,wiki,"'''Şînava''', gundekî bi ser navçeya Zaxoyê ya parêzgeha Dihokê (Badînan, Başûrê Kurdistanê) ve ye .",şînava gundekî bi ser navçeya zaxoyê ya parêzgeha dihokê badînan başûrê kurdistanê ve ye,100,14,78264,Şînava
