doc_id,lang,source,text,text_norm,n_chars,n_tokens,page_id,title
58105-p0,zza,wiki,"'''Cumhuriyetê Tırkê Qıbrısê Zımey''' (be Tırki: ''Kuzey Kıbrıs Türk Cumhuriyeti'') ya zi '''Qıbrısê Zımey''', yew ''de-facto'' dewleta qısmê zımey adey Qıbrısiyo. Paytextê Cumhuriyetê Tırkanê Qıbrısê Zımey Lefkoşayo.",cumhuriyetê tırkê qıbrısê zımey be tırki kuzey kıbrıs türk cumhuriyeti ya zi qıbrısê zımey yew de facto dewleta qısmê zımey adey qıbrısiyo paytextê cumhuriyetê tırkanê qıbrısê zımey lefkoşayo,217,28,58105.0,Cumhuriyetê Tırkê Qıbrısê Zımey
11201-p0,zza,wiki,"'''Qersig''', wılayetê Semsûri de yew dewa qezay Aldûşiya.",qersig wılayetê semsûri de yew dewa qezay aldûşiya,58,8,11201.0,Qersig
381-p6,zza,wiki,"'''Medya'''
* Facebook de Fenerbahçe
* Twitter de Fenerbahçe
* Instagram de Fenerbahçe
* YouTube de Fenerbahçe",medya facebook de fenerbahçe twitter de fenerbahçe instagram de fenerbahçe youtube de fenerbahçe,110,13,381.0,Fenerbahçe SK
59235-p0,zza,wiki,"'''Montejícar''', dewleta İspanya de, eyaletê Endulusi de, wılayetê Granada de yew belediyaya.",montejícar dewleta i spanya de eyaletê endulusi de wılayetê granada de yew belediyaya,94,13,59235.0,Montejícar
12813-p1,zza,wiki,"Siteyê cıyo resmi
* ''Hasköy Köyü'' (Dewa Xorisi) , Qeymeqamiya Kolıki.",siteyê cıyo resmi hasköy köyü dewa xorisi qeymeqamiya kolıki,71,9,12813.0,Xoris
70042-p0,zza,wiki,"'''..jpmorgan''', internet de nameyê bandıra jeneriko (be zıwanê İngılızki: ''Generic top-level domains'') ke yew kodê interneti rê abıriyayo.",jpmorgan internet de nameyê bandıra jeneriko be zıwanê i ngılızki generic top level domains ke yew kodê interneti rê abıriyayo,142,20,70042.0,.jpmorgan
10494-p0,zza,wiki,"'''Ali Sürmeli''' yew sanatkaro Zazao. 1959 de Boglan, Çolig de ame dınya. Eslê xo Gêğiye rao.",ali sürmeli yew sanatkaro zazao 1959 de boglan çolig de ame dınya eslê xo gêğiye rao,94,16,10494.0,Ali Sürmeli
48078-p447,zza,wiki,"Kategoriye:Sistemê nuştışiyê ke Alfabeyê Latinki ra vıraziyayê
Kategoriye:Zıwanê Çini",kategoriye sistemê nuştışiyê ke alfabeyê latinki ra vıraziyayê kategoriye zıwanê çini,85,11,48078.0,Pinyin
56817-p0,zza,wiki,"'''Emza''', (be Tırki: ''Halaoğlu''), gorey insani, lacê emo.",emza be tırki halaoğlu gorey insani lacê emo,61,8,56817.0,Emza
62933-p26,zza,wiki,"Multilingual Shared Templates and Modules
 Hello diq-wiki community! ( )",multilingual shared templates and modules hello diq wiki community,72,9,62933.0,Wikipediya:Embassy/Arşiv 6b
80934-p3,zza,wiki,"Nıfus
Grafikê diagrami sero gorey seran ra nıfusê Ardeuil-et-Montfauxellesi ;",nıfus grafikê diagrami sero gorey seran ra nıfusê ardeuil et montfauxellesi,77,11,80934.0,Ardeuil-et-Montfauxelles
59276-p5,zza,wiki,"Nıfus
Grafikê diagrami sero gorey serran ra nıfusê Láchari;",nıfus grafikê diagrami sero gorey serran ra nıfusê láchari,59,9,59276.0,Láchar
90474-p3,zza,wiki,"Nıfus
Grafikê diagrami sero gorey seran ra nıfusê Saint-Calez-en-Saosnois;",nıfus grafikê diagrami sero gorey seran ra nıfusê saint calez en saosnois,74,12,90474.0,Saint-Calez-en-Saosnois
6931-p17,zza,wiki,"== Zıwanê Hind u Ewropa == 
Arnawutki",zıwanê hind u ewropa arnawutki,37,5,6931.0,Keyeyê zıwanan
91566-p3,zza,wiki,"Nıfus
Grafikê diagrami sero gorey seran ra nıfusê Saint-Sauveur-de-Pierrepont;",nıfus grafikê diagrami sero gorey seran ra nıfusê saint sauveur de pierrepont,78,12,91566.0,Saint-Sauveur-de-Pierrepont
85937-p0,zza,wiki,"'''Anderny''', jû komuna qezay Brieyiya. Cayê na komune dewleta Fransa de, mıntıqaya Grand Esti de, wılayetê Meurthe-et-Moselleyi dero. Erdê komune 9,62 km 2 ca gêno. Dormey Anderny ra komunê Audun-le-Roman, Mont-Bonvillers, Mairy-Mainville, Malavillers, Sancy, Meurthe-et-Moselle û Tucquegnieux ca gênê.",anderny jû komuna qezay brieyiya cayê na komune dewleta fransa de mıntıqaya grand esti de wılayetê meurthe et moselleyi dero erdê komune 9 62 km 2 ca gêno dormey anderny ra komunê audun le roman mont bonvillers mairy mainville malavillers sancy meurthe et moselle û tucquegnieux ca gênê,304,48,85937.0,Anderny
333-p11,zza,wiki,"Çımey
* Pêsoreka Vartoy 
* Qerayışê Vartoy 
* Radonê Vartoy",çımey pêsoreka vartoy qerayışê vartoy radonê vartoy,59,7,333.0,Varto
87882-p1,zza,wiki,"Xızmete
Palairac de şebekey awe esto, sistemê kanalizasyoni, elektrik û internet anciyao.",xızmete palairac de şebekey awe esto sistemê kanalizasyoni elektrik û internet anciyao,89,12,87882.0,Palairac
A500A3D6DE,zza,zazagorani,"Erzîncane: Azadîya cinîyan bi xoverdayîşî bena

Endama Koordînasyonê KJKyî Besê Erzîncan bale ante ser ke cinîyî bi pawitiş yan zî têna bi nêrazîbîyayîşan ney bi awankerdişê alternatîfan do bixelisê.

Endama Koordînasyonê KJKyî Besê Erzîncan derheqê têkoşînê cinîyan de serra 2019î ercnaye.
Ercnayîşê Erzîncane wina yê:
""No esasêk o ke ma sey cinîyan seserra nikayêne tarîf bikê û planan bikê û xo rê armanc bikê ke ameyox de ma do çi bikê. Fikirîyayîş, têkoşînê xobîyayîşî, xîretkerdiş bi serkewtişî netîce beno. Naye ra ganî ma reya verêne israr bikê ke serra 2020î seba cinîyan biba serra destkewteye. Ganî cuya ma û fikrê ma yewbînan bitepişê, paştî bidê yewbînan. Mefteyê azadîye xo ra destpêkerdiş o. Seke Rayber Apoyî pawitişanê Îmraliyî de mojna konfedaralîzmo demokratîk, modelê xoserîya demokratîke û paradîgmaya cinîya demokratîke-ekolojîke- azadîkere çare bi hawayêkê eşkera erzena meydan.25ê Teşrîna Peyêne Roja Têkoşînê Vera Şîdetê Serê Cinîyan bi tewrbîyayîşê girseyanê cinîyan vîyarte. Dinya ser o rojdemêko bîn ê 25ê teşrîna peyêne zî pawitişê Şorişê Rojawanî bi.
Ma dewirêk de yê ke Tirkîya de sere de HDP cinîyê CHPyî, cinîyî partîyanê Îslamgîran û hetta cinîyê AKPyî do hîna zêdêr wayîrê têkoşînê cinîyan bivejîyê. Cinîyê Kurdîstanî bi erjanê xo paştî danê pêro têkoşînanê cinîyan. Cinîyê kurdî ganî paştî bidê pêro çalakîyanê cinîyan û çalakîyanê xo zî her cografya de aver berê. Ganî cinîyê Tirkîya zî wina bikê. cinîyî bi pawitiş yan zî têna bi nêrazîbîyayîşan ney bi awankerdişê alternatîfan do bixelisê. Cinîyî eşkenê ke çalakîyanê yewbîyayeyan zî bikê. Têkoşînê cinîyanê kurdan bi grevê vêşanîye yê Leyla Guven û bi xoverdayîşê cinîyanê Rojawanî yê vera îşxalê dewleta tirke aver şi. Seba ke ame zanayene ke Şorişê Rojawanî şorişêkê cinîyan o, pêro cinîyî dinya seba pawitişê Rojawanî yew ca de ameyî pêser û înan vera hegemonya pîya şer kerd.Ganî tewirê azadîye yê gerîlayanê YJA-Starî baş bêro dîyene û ercnayene. Her gerîla sembola serewedaritişê vera sîstemê pederşahîye ya. Gerîlayê cinîyî çimeyê têkoşînê azadîye yê cinîyan ê. Şerê gerîlayanê ma pêro dinya ser o tesîr keno. Serra 2019î de gerîlayanê ma bi xoverdayîşê xo mojna ke ê banderîya camêrdan û dewlete red kenê.
Bi nê hewayî serra 2019î de gerîlayanê ma yê cinîyan reyna bi hawayêkê xurtî îfade kerd ke ê israr kenê û qerardar ê ke cuyêka azade û newîye awan bikê. Xoverdayîş û înşa do cinîyan bixelisnê. Ma mîyanê prosesêkê winasênî de yê ke têkoşînê cinîyanê dinya yewbînan rê benê nêzdîye. Jineolojî bi rayberîya cinîyan rojdemê pêro cinîyan de yo. Ma bi Jineolojî rayîr ra şinê. Bi averşîyayîşê jinoelojî û xebatanê îdeolojîkan ma verê xo hîna zelal vînenê û xebatanê xo hîna xurtêr kenê.
Eke ma têkoşînê cuya azade xurt nêkê, vera trajedîyanê dinya nêrazîbîyayîşê xo nêmojnê ma zî do bibê berpirsîyar. Nê esasî ser o ma qerardar û isrardar ê ke seba cinîyan cuyêka newîye awan bikê. Tay xebatî estê. Cinîyî payan ser o yê. Hêvîya ma zixm a. Ma xîret kenê ke ser bikewê. Ma do bi xoverdayîş û têkoşînî serra 2020î bikê serra azadîya cinîyan. Ma vajê, serra 2020î serr a ke cinîyî do azad bibê.""",erzîncane azadîya cinîyan bi xoverdayîşî bena endama koordînasyonê kjkyî besê erzîncan bale ante ser ke cinîyî bi pawitiş yan zî têna bi nêrazîbîyayîşan ney bi awankerdişê alternatîfan do bixelisê endama koordînasyonê kjkyî besê erzîncan derheqê têkoşînê cinîyan de serra 2019î ercnaye ercnayîşê erzîncane wina yê no esasêk o ke ma sey cinîyan seserra nikayêne tarîf bikê û planan bikê û xo rê armanc bikê ke ameyox de ma do çi bikê fikirîyayîş têkoşînê xobîyayîşî xîretkerdiş bi serkewtişî netîce beno naye ra ganî ma reya verêne israr bikê ke serra 2020î seba cinîyan biba serra destkewteye ganî cuya ma û fikrê ma yewbînan bitepişê paştî bidê yewbînan mefteyê azadîye xo ra destpêkerdiş o seke rayber apoyî pawitişanê îmraliyî de mojna konfedaralîzmo demokratîk modelê xoserîya demokratîke û paradîgmaya cinîya demokratîke ekolojîke azadîkere çare bi hawayêkê eşkera erzena meydan 25ê teşrîna peyêne roja têkoşînê vera şîdetê serê cinîyan bi tewrbîyayîşê girseyanê cinîyan vîyarte dinya ser o rojdemêko bîn ê 25ê teşrîna peyêne zî pawitişê şorişê rojawanî bi ma dewirêk de yê ke tirkîya de sere de hdp cinîyê chpyî cinîyî partîyanê îslamgîran û hetta cinîyê akpyî do hîna zêdêr wayîrê têkoşînê cinîyan bivejîyê cinîyê kurdîstanî bi erjanê xo paştî danê pêro têkoşînanê cinîyan cinîyê kurdî ganî paştî bidê pêro çalakîyanê cinîyan û çalakîyanê xo zî her cografya de aver berê ganî cinîyê tirkîya zî wina bikê cinîyî bi pawitiş yan zî têna bi nêrazîbîyayîşan ney bi awankerdişê alternatîfan do bixelisê cinîyî eşkenê ke çalakîyanê yewbîyayeyan zî bikê têkoşînê cinîyanê kurdan bi grevê vêşanîye yê leyla guven û bi xoverdayîşê cinîyanê rojawanî yê vera îşxalê dewleta tirke aver şi seba ke ame zanayene ke şorişê rojawanî şorişêkê cinîyan o pêro cinîyî dinya seba pawitişê rojawanî yew ca de ameyî pêser û înan vera hegemonya pîya şer kerd ganî tewirê azadîye yê gerîlayanê yja starî baş bêro dîyene û ercnayene her gerîla sembola serewedaritişê vera sîstemê pederşahîye ya gerîlayê cinîyî çimeyê têkoşînê azadîye yê cinîyan ê şerê gerîlayanê ma pêro dinya ser o tesîr keno serra 2019î de gerîlayanê ma bi xoverdayîşê xo mojna ke ê banderîya camêrdan û dewlete red kenê bi nê hewayî serra 2019î de gerîlayanê ma yê cinîyan reyna bi hawayêkê xurtî îfade kerd ke ê israr kenê û qerardar ê ke cuyêka azade û newîye awan bikê xoverdayîş û înşa do cinîyan bixelisnê ma mîyanê prosesêkê winasênî de yê ke têkoşînê cinîyanê dinya yewbînan rê benê nêzdîye jineolojî bi rayberîya cinîyan rojdemê pêro cinîyan de yo ma bi jineolojî rayîr ra şinê bi averşîyayîşê jinoelojî û xebatanê îdeolojîkan ma verê xo hîna zelal vînenê û xebatanê xo hîna xurtêr kenê eke ma têkoşînê cuya azade xurt nêkê vera trajedîyanê dinya nêrazîbîyayîşê xo nêmojnê ma zî do bibê berpirsîyar nê esasî ser o ma qerardar û isrardar ê ke seba cinîyan cuyêka newîye awan bikê tay xebatî estê cinîyî payan ser o yê hêvîya ma zixm a ma xîret kenê ke ser bikewê ma do bi xoverdayîş û têkoşînî serra 2020î bikê serra azadîya cinîyan ma vajê serra 2020î serr a ke cinîyî do azad bibê,3090,505,,
4331-p0,zza,wiki,"'''Edith Södergran''' yew nuskar u şairê Swêdij biyo. Roc 4 nısan, 1892 dı ameya dınya u roc heziran 24, 1923 dı merd.",edith södergran yew nuskar u şairê swêdij biyo roc 4 nısan 1892 dı ameya dınya u roc heziran 24 1923 dı merd,118,22,4331.0,Edith Södergran
86224-p0,zza,wiki,"'''Gogney''', yew komunê wılayetê Meurthe-et-Moselleo. No komune dewleta Fransa de mıntıqaya Grand Esti de ca gêno.",gogney yew komunê wılayetê meurthe et moselleo no komune dewleta fransa de mıntıqaya grand esti de ca gêno,115,18,86224.0,Gogney
